Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Rectangle,Geometric Shapes,1,,,,,,,MOF
3,Rectangle,Geometric Shapes,1,,,,,,,RDF(S)
4,Rectangle,Geometric Shapes,1,,,,,,,SysML
5,Rectangle,Geometric Shapes,1,,,,,,,UML
6,Circle,Geometric Shapes,1,,,,,,,
7,Circle,Geometric Shapes,1,,,,,,,
8,Rectangle,Geometric Shapes,1,,,,,,,OWL-MOF
9,Rectangle,Geometric Shapes,1,,,,,,,OWL
10,Rectangle,Geometric Shapes,1,,,,,,,IFC-OWL
11,Rectangle,Geometric Shapes,1,,,,,,,IFC-RAIL
12,Rectangle,Geometric Shapes,1,,,,,,,STEP APs
13,Rectangle,Geometric Shapes,1,,,,,,,STEP-OWL
14,Rectangle,Geometric Shapes,1,,,,,,,STEP APs (?)
15,Rectangle,Geometric Shapes,1,,109,,,,,
16,Rectangle,Geometric Shapes,1,,109,,,,,
17,Rectangle,Geometric Shapes,1,,109,,,,,
18,Rectangle,Geometric Shapes,1,,109,,,,,
19,Text,Standard,1,,109,,,,,OMG
20,Text,Standard,1,,109,,,,,BSi
21,Text,Standard,1,,109,,,,,W3C
22,Text,Standard,1,,109,,,,,STEP or ISO
23,Text,Standard,1,,110,,,,,Conforms To
24,Text,Standard,1,,111,,,,,Maps To
25,Text,Standard,1,,,,,,,Model  Level 3
26,Text,Standard,1,,,,,,,Model  Level 2
27,Text,Standard,1,,,,,,,Model  Level 1
28,Text,Standard,1,,,,,,,Model  Level 0
29,Rectangle,Geometric Shapes,1,,,,,,,meta- EXPRESS
30,Rectangle,Geometric Shapes,1,,,,,,,EXPRESS
31,Rectangle,Geometric Shapes,1,,,,,,,IFC-EXP
32,Rectangle,Geometric Shapes,1,,,,,,,STEP APs (legacy)
33,Rectangle,Geometric Shapes,1,,,,,,,IFCDocs
34,Rectangle,Geometric Shapes,1,,,,,,,XML
35,Rectangle,Geometric Shapes,1,,,,,,,STEPmod DTD
36,Rectangle,Geometric Shapes,1,,,,,,,IFC-XML
37,Rectangle,Geometric Shapes,1,,,,,,,IFCXML XSD
38,Rectangle,Geometric Shapes,1,,,,,,,STEPmod XML
39,Rectangle,Geometric Shapes,1,,,,,,,IFC UML Profile
40,Rectangle,Geometric Shapes,1,,,,,,,meta- EXPRESS
41,Rectangle,Geometric Shapes,1,,,,,,,EXPRESS
42,Rectangle,Geometric Shapes,1,,,,,,,IFC-EXP
43,Rectangle,Geometric Shapes,1,,,,,,,STEP APs (legacy)
44,Rectangle,Geometric Shapes,1,,,,,,,IFCDocs
45,Rectangle,Geometric Shapes,1,,,,,,,XML
46,Rectangle,Geometric Shapes,1,,,,,,,STEPmod DTD
47,Rectangle,Geometric Shapes,1,,,,,,,IFC-XML
48,Rectangle,Geometric Shapes,1,,,,,,,IFCXML XSD
49,Rectangle,Geometric Shapes,1,,,,,,,STEPmod XML
50,Line,,1,,,4,2,None,Arrow,
51,Line,,1,,,5,2,None,Arrow,
52,Line,,1,,,8,2,None,Arrow,
53,Line,,1,,,3,3,None,Arrow,
54,Line,,1,,,2,2,None,Arrow,
55,Line,,1,,,9,3,None,Arrow,
56,Line,,1,,,10,9,None,Arrow,
57,Line,,1,,,11,5,None,Arrow,
58,Line,,1,,,12,4,None,Arrow,
59,Line,,1,,,5,8,None,Arrow,E3
60,Line,,1,,,13,9,None,Arrow,
61,Line,,1,,,14,5,None,Arrow,
62,Line,,1,,,8,5,None,Arrow,E12
63,Line,,1,,110,,23,None,Arrow,
64,Line,,1,,111,,24,None,Arrow,
65,Line,,1,,,,,None,None,
66,Line,,1,,,,,None,None,
67,Line,,1,,,,,None,None,
68,Line,,1,,,,,None,None,
69,Line,,1,,,29,29,None,Arrow,
70,Line,,1,,,30,29,None,Arrow,
71,Line,,1,,,31,30,None,Arrow,
72,Line,,1,,,32,30,None,Arrow,
73,Line,,1,,,33,30,None,Arrow,E6
74,Line,,1,,,,30,None,Arrow,E9
75,Line,,1,,,30,,None,Arrow,E11
76,Line,,1,,,8,9,None,Arrow,E4
77,Line,,1,,,,,None,Arrow,E8
78,Line,,1,,,9,8,None,Arrow,E13*
79,Line,,1,,,34,34,None,Arrow,
80,Line,,1,,,35,34,None,Arrow,
81,Line,,1,,,37,34,None,Arrow,
82,Line,,1,,,36,37,None,Arrow,
83,Line,,1,,,38,35,None,Arrow,
84,Line,,1,,,,37,None,Arrow,E7
85,Line,,1,,,41,35,None,Arrow,E1
86,Line,,1,,,35,,None,Arrow,E5
87,Line,,1,,,35,,None,Arrow,E2
88,Line,,1,,,42,36,None,Arrow,E10
89,Line,,1,,,40,40,None,Arrow,
90,Line,,1,,,41,40,None,Arrow,
91,Line,,1,,,42,41,None,Arrow,
92,Line,,1,,,43,41,None,Arrow,
93,Line,,1,,,44,41,None,Arrow,E6
94,Line,,1,,,5,41,None,Arrow,E9
95,Line,,1,,,41,5,None,Arrow,E11
96,Line,,1,,,8,9,None,Arrow,E4
97,Line,,1,,,44,9,None,Arrow,E8
98,Line,,1,,,9,8,None,Arrow,E13*
99,Line,,1,,,45,45,None,Arrow,
100,Line,,1,,,46,45,None,Arrow,
101,Line,,1,,,48,45,None,Arrow,
102,Line,,1,,,47,48,None,Arrow,
103,Line,,1,,,49,46,None,Arrow,
104,Line,,1,,,44,48,None,Arrow,E7
105,Line,,1,,,41,46,None,Arrow,E1
106,Line,,1,,,46,9,None,Arrow,E5
107,Line,,1,,,46,5,None,Arrow,E2
108,Line,,1,,,42,47,None,Arrow,E10
109,Group 1,,1,,,,,,,
110,Group 2,,1,,,,,,,
111,Group 3,,1,,,,,,,